Building Name,Address,Broker,Broker Phone
Shadeland School Apartments,"1525 W 14th St, Anderson, IN, 46016",Michael B. Drew,317.255.3900
18 Unit Multi-Family Portfolio,"514 W Oregon St, Evansville, IN, 47710",Ryan Black,812.319.1322
2023 45th Street 304,"2023 45th Street 304, Highland, IN, 46322",Jeana Consier,219.462.2224
208 South 4th Street,"208 South 4th Street, Lafayette, IN, 47901",Jim Pitoukkas,317281881
16-Unit Multi-Family Property,"5128 E Washington St, Indianapolis, IN, 46219","Josh Moss, SIOR",317.413.7292
Don's Market,"1600 S Green River Rd, Evansville, IN, 47715",Jesal Patel,229.699.1998
7 Unit Multi-Family For Sale!,"19 Hendricks Pl, Indianapolis, IN, 46201",Mark Harris,317.431.2969
Fair Commons Apartments,"1828 E 5th St, Anderson, IN, 46012",David Turk,317.385.1750
KDC Portfolio,"701 W 16th St, Rushville, IN, 46173",Aaron Kuroiwa,317.218.5330
Speedway Corner Lot Mixed Use,"5002 W 16th St, Indianapolis, IN, 46224","Josh Moss, SIOR",317.413.7292
117 South Broadway Street - Butler,"117 S Broadway St, Butler, IN, 46721","Karl Behrens, CCIM, SIOR",260.407.7115
2802 Lafayette St,"2802 Lafayette St, Fort Wayne, IN, 46806",Diaa Almalahi,260.610.5313
Climate Controlled Storage Facility,"3661 US-27, Winchester, IN, 47394",Ryan Black,812.319.1322
East Ridge,"2302 N Ritter Ave, Indianapolis, IN, 46218",Aaron Kuroiwa,317.218.5330
833 E 114th Street,"833 E 114th Street, Whiting, IN, 46394",Tariq Suboh,219.805.5200
4035 E State Road 32,"4035 E State Road 32, Crawfordsville, IN, 47933",Stacey Baird,765.720.2075
13501 Morse Street,"13501 Morse Street, Cedar Lake, IN, 46303",Shelly Faber,219.374.2121
907 W Main Street,"907 W Main St, Muncie, IN, 47305",Ryan Kramer,765.717.2489
StorSafe of Merrillville,"3950 W 73rd Ave, Merrillville, IN, 46410",Sean Delaney,630.570.2267
Park Forest Apartments,"1005 N Park Forest Dr, Marion, IN, 46952",Kyle Stengle,312.327.5455
Nickel Plate Village,"4233 Evanston Ave, Indianapolis, IN, 46205",Cory Gardner,317.804.1795
Fountain Square Poshtel - 1001 Hosbrook Street,"1001 Hosbrook St, Indianapolis, IN, 46203",Eduardo Nieto,317.605.1742
Storage 48,"2453 IN-48, Shelburn, IN, 47879",Jon Fisher,217.202.0924
Unique Opportunity - Historic Office Building,"2410 Fairfield Ave, Fort Wayne, IN, 46807","Carolyn Spake-Leeper, SIOR",260.437.8745
319 N Third Ave,"319 N 3rd Ave, Evansville, IN, 47710",Charlie Butler,812.449.0050
Indy Town Portfolio,"6046 E 21st St, Indianapolis, IN, 46219",Aaron Kuroiwa,317.218.5330
467 N Eddy St Lot 24,"467 N Eddy St, South Bend, IN, 46617",Steve Smith,574.360.2569
"Kokomo, IN SFR Portfolio","701 E Broadway St, Kokomo, IN, 46901",Pete Alveal,317.454.7171
Angola-Fremont Self Storage Facility,"4865 N State Rd 127, Angola, IN, Angola, IN, 46703",Kaleb Haimes,574.321.2089
TownePlace Suites Keystone & Park 100,"8468 Union Chapel Rd, Indianapolis, IN, 46240",Aaron Kuroiwa,317.218.5330
473 N Eddy St Lot 27,"473 N Eddy St, South Bend, IN, 46617",Steve Smith,574.360.2569
Somerset 56 Unit Investment,"3115 Carroll Rd, Fort Wayne, IN, 46818",Tyler Binkley,260.414.0617
840 Cottage Ave,"840 Cottage Ave, Indianapolis, IN, 46203",Sarah Fishburn,317.989.5613
Indinapolis Indiana Package,"3543 Payton Ave, Indianapolis, IN, 46226",Caleb Boates,325.482.7130
401 N Walcott St,"401 N Walcott St, Indianapolis, IN, 46201",Alec Neu,317.258.3080
Emerson & Main Nexus Greenwood,"151 Byrd Way, Greenwood, IN, 46143",Eric Harvey,317.509.9480
615 S Liberty Street,"615 S Liberty Street, Muncie, IN, 47305",Brian Allardt,765.808.1400
Reed Office Building & 4Plex Investment,"2701-2709 Washington Avenue, Evansville, IN, 47714",Kristin Dannheiser,812.455.0001
30 Unit SFR Portfolio - $3.2M Zillow estimate,"1200 S Dexter Ave, Evansville, IN, 47714",Ryan Black,812.319.1322
