Building Name,Address,Broker,Broker Phone
Triplex w/6 unit-next door Buy One or Both,"721 W Cinnabar Ave, Phoenix, AZ, 85021","Linda Gerchick, CCIM",602-688-9279
430 Lake Havasu Ave,"430 N Lake Havasu Ave, Lake Havasu City, AZ, 86403",Raul Ballas,928-855-0101
The Villages at Greenway,"12925 W Greenway Rd, El Mirage, AZ, 85335",Chantel Gutierrez-Davis,480-636-9896
610 E San Juan,"610 E San Juan Ave, Phoenix, AZ, 85012",Brad Skenderian,602-975-0816
1521 W Chapala Dr,"1521 W Chapala Dr, Tucson, AZ, 85704",Angelica Deitering,520-403-5339
3110 N. Pinal Parkway Ave,"3110 N Pinal Pkwy Ave, Florence, AZ, 85132",Hani Aldulaimi,480-900-8484
Triplex 100% occupied must buy the 4 plex next door as well,"2124 W Augusta Ave, Phoenix, AZ, 85021","Linda Gerchick, CCIM",602-688-9279
"duplex-210 E Elm Street, Tucson, AZ 85705 near U of A","210 E Elm St, Tucson, AZ, 85705",Anthony Payne,520-282-0792
Tumbleweed Apts,"1221 N Roberts Way, Tucson, AZ, 85712",Sheila Moore,520-954-2323
Sweetwater Condo Seller Terms,"1945 W Sweetwater Ave, Phoenix, AZ, 85029",Richard Horst,480-353-0394
The Lido,"2617 N 27th St, Phoenix, AZ, 85008",Kyle Inman,480-703-8955
UofA student housing,"1222 N 4th Ave, Tucson, AZ, 85705",Marc Luety,520-850-4000
Thirteen on 32nd Street,"525 N 32nd St, Phoenix, AZ, 85008",Sophia Willets,561-269-9525
Arizona Covered RV & Boat Storage,"5007 S Delaware Dr, Apache Junction, AZ, 85120",Jeff Gorden,480-331-8880
Flagstaff RV / Boat Storage Condos: Dark Sky Storage,"5590 Dark Sky Rd, Flagstaff, AZ, 86001",Daniel Collins,928-230-5168
Falcon Storage Luxury Condo's,"450 E Willis Rd, Chandler, AZ, 85286",Jon Hammond,480-418-7895
Eagar RV Park,"72 Harless St, Eagar, AZ, 85925",Jack A. Cardinal,602-350-4488
"$1,475KPrime 8-Unit Apartment Building w/Extensive Upgrades","8939 North 8th St, Phoenix, AZ, 85020","Linda Gerchick, CCIM",602-688-9279
Green Acres RV Resort,"2052 W Main St, Mesa, AZ, 85201",Braden Weaver,512-637-1221
North Phoenix 20bd assisted living portfolio,"6519 W Gold Mountain Pass, Phoenix, AZ, 85083",Jake Crawford,952-649-8971
50 W 32nd St 8 Plex,"50 W 32nd St, Tucson, AZ, 85713",Liliana Quintero,520-705-7201
"6 units Non Conforming $545,000 Cash Only 7.97% Cap Rate","8816 N 6th Pl, Phoenix, AZ, 85020","Linda Gerchick, CCIM",602-688-9279
Prince Rd Multi Family & RV,"1036 W Prince Rd, Tucson, AZ, 85705",Elan Spreiser,520-349-6749
New Horizons,"1510 N 48th St, Phoenix, AZ, 85008",Brian Smuckler,602-570-9442
4onTurney,"2019 W Turney Ave, Phoenix, AZ, 85015",Drew Gibson,602-684-2891
Sun Terrace,"1709 North 25th Pl, Phoenix, AZ, 85008",Brian Smuckler,602-570-9442
45 Birch Boulevard,"45 Birch Blvd, Sedona, AZ, 86336",Ian Kraut,928-421-2561
Owls & Mesa Lodge,"2015-2027  E Benson Hwy, Tucson, AZ, 85714",Joseph Chaplik,480-305-5600
Palm Square,"4811 N 15th Ave, Phoenix, AZ, 85015",Brian Smuckler,602-570-9442
375 E Ironwood St,"375 Ironwood St, Quartzsite, AZ, 85346",Summer Beydler,480-710-3995
2714 N Hopi Pl,"2714 N Hopi Pl, Tucson, AZ, 85705",Liliana Quintero,520-705-7201
W Commerce Drive,"W Commerce Dr, Benson, AZ, 85602",Kameron Norwood,1 520 360 8510
Blake Ranch RV Park,"9315 E Blake Ranch Rd, Kingman, AZ, 86401",Jack A. Cardinal,602-350-4488
Duplex w/plans in rear parcel to build a 4 plex,"8916 North 11th St, Phoenix, AZ, 85020","Linda Gerchick, CCIM",602-688-9279
Downtown Phoenix 8-Plex,"1625 W Fillmore St, Phoenix, AZ, 85007",Gunnar Sinnett,314-651-0322
The Toy Barn at Chandler,"SWC S Douglas Dr & S Stearman Dr, Chandler, AZ, 85286",Nicholas Skogen,602-750-6986
The Storage Compound,"1 Cochise Row, Bisbee, AZ, 85603",Brandon Robinson,760-534-8135
Quartzsite RV Resort,"240 Riggles Ave, Quartzsite, AZ, 85346",Summer Beydler,480-710-3995
Flex Small Bay Industrial Available For Sale,"21411 N 11th Ave Unit 12, Phoenix, AZ, 85027",Tucker Geer,602-684-9001
"Pine View - 15 Units For Sale - Prescott, AZ","500 Copper Basin Rd, Prescott, AZ, 86303",Abigail Chartier,928-642-3032
Desert Hills Mobile Ranches,"617 W Setting Sun Ct, Tombstone, AZ, 85638",Scott Hotchkiss,520-465-1015
67 New Storage Units - Potential Owner Financing,"2725 Desert Trail Dr, Bullhead City, AZ, 86429",Ann Pettit,928-234-5555
Shady Lane Mobile Home Park,"24 Shady Ln, Duncan, AZ, 85534",Laura Good,480-406-1984
6221 N 13th Pl,"6221 N 13th Pl, Phoenix, AZ, 85014",Brad Skenderian,602-975-0816
805 White Spar Road,"805 White Spar Rd, Prescott, AZ, 86303",Raymond Zogob,928-443-0766
3240 & 3246 North State Route 89,"3240 AZ-89, Prescott, AZ, 86301",John Klocek,602-344-9258
855 E Rodgers Ave,"855 E Rogers Ave, Quartzsite, AZ, 85346",Summer Beydler,480-710-3995
4049 E Main St,"4049 E Main St, Mesa, AZ, 85205",Matt McOmber,480-634-2321
2601 Laughlin View Drive and 2725 Desert Trail,"2601 Laughlin View Dr, Bullhead City, AZ, 86429",Ann Pettit,928-234-5555
ASH&KO,"1538 W Osborn Rd, Phoenix, AZ, 85015",Arman Shields,602-652-2749
Habitat Sedona,"1710 AZ-89A, Sedona, AZ, 86336",David Thomas,315-374-2134
Harris Place,"43 N Harris Dr, Mesa, AZ, 85203",Ryan Ash,602-525-4877
Apartments on 12th,"3511 S 12th Ave, Tucson, AZ, 85713",Jon Hammond,480-418-7895
I-10 RV Storage,"6740 W Germann Rd, Chandler, AZ, 85226",Devin Beasley,602-687-6787
3290 S Montgomery Rd,"3290 S Montgomery Rd, Casa Grande, AZ, 85193",Kyle Davis,203-419-5385
Bellevue Manor Apartments,"4302 E Bellevue St, Tucson, AZ, 85712",Danny Lee,480-425-5522
Lender Owned Asset - Vacant Hotel - Apt Conversion,"1631 AZ-92, Sierra Vista, AZ, 85635",Ryan J. Bodine,480-236-9918
University Estates - ASU,"1610 S College Ave, Tempe, AZ, 85281",Richard Horst,480-353-0394
Tri Pak Apartments,"3330 W Buckeye Rd, Phoenix, AZ, 85009",Sean Connolly,602-686-4040
Avenue 19,"6545 N 19th Ave, Phoenix, AZ, 85015",Brian Smuckler,602-570-9442
Top of the World RV/Mobile home park,"53390 E US Highway 60, Miami, AZ, 85539",Cathy Fox,602-316-7978
Falcon Storage Luxury Condo's Building 7,"450 E Willis Rd Bldg 7, Chandler, AZ, 85286",Jon Hammond,480-418-7895
MIXED-USE DEVELOPMENT OPPORTUNITY,"232 E McDowell Rd, Phoenix, AZ, 85004",Alex DeSoto,602-898-8499
500 N Pueblo Dr,"500 N Pueblo Dr, Casa Grande, AZ, 85122",Dallan Randall,480-966-2301
Scotsman Motel,"3526 E Benson Hwy, Tucson, AZ, 85706",Waco Starr,520-548-7652
Alameda Villas - Seller Financing Available,"3805 E Monterey Wy, Phoenix, AZ, 85018",Sean Connolly,602-686-4040
"RV & Boat Storage at Higley Rd & Thomas Rd, Mesa, AZ 85215","5305 E Thomas Rd, Mesa, AZ, 85215",Carrick Sears,480-425-5529
Sage House,"5449 E Crocus Dr, Scottsdale, AZ, 85254",Luis Espinoza,602-373-9729
Ruthrauff Rd. SFR & RV,"2040 W Ruthrauff Rd, Tucson, AZ, 85705",Elan Spreiser,520-349-6749
Twin Palms 20 Units,"50 W King Rd, Tucson, AZ, 85705",Richard Horst,480-353-0394
Greentree Palms,"6215 N 14th St, Phoenix, AZ, 85014",Brad Skenderian,602-975-0816
3308 N 67th St,"3308 N 67th St, Scottsdale, AZ, 85251",Brad Skenderian,602-975-0816
