Building Name,Address,Broker,Broker Phone
Manatee Ave West Investment Property or Owner User,"1725 Manatee Ave W, Bradenton, FL, 34205",Angela Varga,941-932-7131
Olympic Apartments,"40 4th Ave, Shalimar, FL, 32579",Kevin Kohler,954-702-6710
Persimmon Storage,"1112 Persimmon Ave, Sebring, FL, 33870",Don Jones,941-320-6336
Rare Opportunity RV Park,"5900 S Hwy 314 A, Ocklawaha, FL, 32179",Skylar Adams,813-280-5468
Historic Pubilc School # 8,"1221 E 16TH Street, Jacksonville, FL, 32206",CARMEN GODWIN,No Phone Number Available
Nokomis Inn & Suites,"119 N Tamiami Trail, Nokomis, FL, 34229",Phil Ginexi,941-444-6160
1870 RV RESORT DEVELOPMENT SITE WITH ENTITLEMENTS,"135 North CR 315 Interlachen, FL 32148, Interlachen, FL, 32148",Townsend Russell,904-315-7435
Happy Hollow,"2620 Reynolds Road, Lakeland, FL, 33801",Enon Winkler,407-900-9986
Presidio Street Apartments | Seller Financing Available,"2027-2043 Presidio St, Navarre, FL, 32566",Adam Podbelski,813-697-1475
KINGS COURTYARD,"1251 Kings Rd, Jacksonville, FL, 32204",William Bruce,904-994-1579
Pensacola Self-Storage,"1720 N Pace Blvd, Pensacola, FL, 32505",Christopher Travis,407-924-1408
Owner finance! Gutted and Ready for Development! 17 units!,"403 Ridgewood Ave, Daytona Beach, FL, 32117",Dino Dodani,386-679-0888
Multi-Family Apartment Complex,"1660 Kay Ave, Tallahassee, FL, 32301",Bryan Cureton,850-545-3687
8-Unit Condo Opportunity,"4004 Santa Maria Dr, Kissimmee, FL, 34741",Victoria Price,407-584-7494
5th Ave Apartments,"6682 5th Ave N, St. Petersburg, FL, 33710",Cary Brown,813-559-2015
"6856 Abbott Ave 5 units MIAMI BEACH, FL 33141","6856 Abbott Ave, Miami Beach, FL, 33141",Teo Palmieri,786-380-0581
Multifamily Opportunity Tampa Three Duplex's,"911 E 108th Ave, Tampa, FL, 33612",Gail Bowden,941-525-8283
814 Monterey St,"814 Monterey St, Coral Gables, FL, 33134",Yoilbert Aranguren,305-505-3360
Castle Belle Glade,"417 SW 6th St, Belle Glade, FL, 33430",David Nissanian,917-873-8411
Amelia Island Personal Storage,"1431 Lewis St, Fernandina Beach, FL, 32034","Mary O'Malley, CCIM",941-960-6342
Little Blue Hideaway,"719 Douglas Ave #A,B,C,D, Dunedin, FL, 34698",Kyle Keelan,727-251-5953
Euclid Grove Flats,"1701 16th St N, St. Petersburg, FL, 33704",Jon Reno La Budde,727-510-1921
103 South Moody,"103 S Moody Ave, Tampa, FL, 33609",Luis Baez,813-767-6275
"3135 S US Highway 1, Fort Pierce, FL 34982-6337","3135 S US Hwy 1, Fort Pierce, FL, 34982",Jorge Tovar,772-200-9396
Taylor & Payne Portfolio,"1222 Taylor St, Auburndale, FL, 33823",Cary Brown,813-559-2015
2781 SW 2nd St,"2781 SW 2nd St, Fort Lauderdale, FL, 33312",Johnathan Ibarra-Blackmoon,646-241-9551
TURNKEY SELF-STORAGE FACILITY,"820 E Lincoln Ave, Melbourne, FL, 32901",Jerry Follano,772-360-5035
Suwannee Campground Retreat,"357 SE Forest Rd, Branford, FL, 32008",Brian Oen,352-698-5656
West 18 Apartments II,"10163 Guidy Ln, Pensacola, FL, 32514",Michael Putman,786-232-1260
7005 7011 LAND O LAKES COMMERCIAL INCOME RV BOAT STORAGE,"7005 Land O' Lakes Blvd, Land O' Lakes, FL, 34638",FRANK  CHARLES GRIMALDI,813-431-8080
Edgewood Condominium,"22775 SW 66th Ave, Boca Raton, FL, 33428",Joshua Kaufman,305-989-6686
Seville,"2030 Virginia Ave, Fort Myers, FL, 33901",Chris Magliozzi,941-661-5250
300 Ash Street,"300 Ash St, Fernandina Beach, FL, 32034",Phil Griffin,904-261-2770
The Manor,"423 Lazy Way, Fort Myers Beach, FL, 33931",Dennis Wagaman,239-940-7749
Victoria Park Villas,"921 NE 17th Avenue, Fort Lauderdale, FL, 33304",Steven Paulsen,561-929-4098
13% CASH-ON-CASH! PALMETTO PLACE APTS! SELLER FINANCING!,"1913 3rd Ave E, Palmetto, FL, 34221",David Rosenthal,813-882-0884
10 Unit SFR Rental Portfolio - Jacksonville FL,"10630 Zigler Ave, Hastings, FL, 32145",MARGUS MAHAR,321-388-6856
Villas At Venezia,"4166 Castilla Circle, Fort Myers, FL, 33916",Cory Sanchez,954-245-3445
River Road Duplexes,"6709 River Rd, New Port Richey, FL, 34652",David Kerr,727-466-6697
9 Unit Condo Portfolio Sale at Silk Oak,"2424 36th Ave W, Bradenton, FL, 34205",Adam Doak,941-923-0535
262 ROYAL PALM DR,"262 Royal Palm Dr, Kissimmee, FL, 34743",Ernesto Javier Font,407-234-4228
On the Rim RV Park,"HWY 441 SE, Okeechobee, FL, 34974",Brandon Tucker,863-634-6796
"ZONED CG-2!!! SEMI TRUCK PARKING/STORAGE, SELF STORAGE, ETC","1934 Edgewood Ave N, Jacksonville, FL, 32254",Matthew Fischer,386-843-4265
Highlands Rental Portfolio,"227 S Orange St, Sebring, FL, 33870",Julian Chavez,786-521-8539
Lakeland FL: 13-sp MHP! Long Term Seller Financing!!!,"1335 Bell Ave, Lakeland, FL, 33805",Benny Spensieri,813-391-1545
1504 & 1506 S Adams St # 1,"1504 & 1506 S Adams St # 1, Tallahassee, FL, 32301","Kee Elwell, CCIM",850-249-2879
24-Space MHP Near St Augustine For Sale - Seller Financing!,"2800 Co Rd 13A, Elkton, FL, 32033",Benny Spensieri,813-391-1545
The Erwin,"244 E Graves Ave, Orange City, FL, 32763",Luis Baez,813-767-6275
Croissant Park Apartments,"432 SE 20th Street, Fort Lauderdale, FL, 33316",Lorenzo Rubio,561-339-9717
WADDELLS,"190 NW 16th St, Miami, FL, 33136",Julian Yuken,786-973-9488
"2781 SW 2ND ST, FORT LAUDERDALE","2781 SW 2nd St, Fort Lauderdale, FL, 33312",Ramin Dan,917-349-0080
7 units! airbnb zoned! Currently rented long term!,"Butler Blvd, Daytona Beach, FL, 32118",Dino Dodani,386-679-0888
Uptown Portfolio,"1915 E 139th Ave, Tampa, FL, 33613",Mark Savarese,813-577-3837
Resort Duplex,"2121 NE 51st Ct, Fort Lauderdale, FL, 33308",Cedric Teboul,305-491-4554
"13-Unit Single-Family Portfolio - Brevard County, FL","1201 Columbia Way, Cocoa, FL, 32922",Andy Jones,754-258-5750
1604 North Osceola Avenue,"1604 N Osceola Ave, Clearwater, FL, 33755",Donald Turner,813-387-4718
201 SW 21st Ct | Javier Ubeda | 305-766-1864,"201 SW 21st Ct, Miami, FL, 33135",Arthur Porosoff,305-209-8866
813 W Jefferson ST,"813 W Jefferson ST, Orlando, FL, 32805",Carmen Telfort,954-825-6504
Archer Mini Storage,"16881 SW Archer Rd, Archer, FL, 32618",Meir Perlmuter,862-591-7070
Fort Pierce Storage & RV Parking,"4400 Metzger Rd, Fort Pierce, FL, 34947",John Lindsey,919-381-7799
SUNRISE CONDOMINIUM,"7676 Magnolia Avenue, Cape Canaveral, FL, 32920",Michael DeVivo,631-402-4695
Historic Downtown Delray Multifamily For Sale,"120 NE 1st Ave, Delray Beach, FL, 33444",Juna Jean,561-929-6144
