Building Name,Address,Broker,Broker Phone
93 Briarwood Rd,"93 Briarwood Rd, Statesboro, GA, 30458",Bob Allen,706-510-5189
550 Waleska Road,"550 Waleska Rd, Canton, GA, 30114",David Moody,770-265-2480
393 Stone Mountain Street,"393 Stone Mountain St, Lawrenceville, GA, 30046",Adam Bagci,470-680-1333
214 Randolph St.,"214 Randolph St NE, Atlanta, GA, 30312",Robert Jahn,706-340-3311
Hampton House,"1919 Hampton Ave, Augusta, GA, 30904",Paul King,706-722-4962
Villas on Mercer,"1655 N Atwood Dr, Macon, GA, 31204",Ian Shaw,404-654-2347
"Atlanta 6 Bedroom Dormplex near downtown Atlanta, GA","2807 Burton Rd NW, Atlanta, GA, 30311",Zach Rogers,770-688-7078
Columbus Single Family Portfolio,"Trask Dr, Columbus, GA, 31903",Bryce Reese,843-687-3831
Country Club Townhomes,"107 P A Johns Rd, Milledgeville, GA, 31061",Connor Kerns,404-445-1090
125 Little Neck Rd,"125 Little Neck Rd, Savannah, GA, 31419",Kim Lyle,912-484-1330
4 Income-Producing SFH in Macon,"955 Putnam St, Macon, GA, 31206",Jessica Bowers,478-795-4663
North Columbus Quadplex,"8082 Veterans Pkwy, Columbus, GA, 31909",Shaun Roberts,706-660-5418
Bunker Hill Duplexes,"1866 Bunker Hill Rd, Columbus, GA 31907, Columbus, GA, 31907",Howard Jefferson,706-580-8078
CALVARY PARK APARTMENTS,"403 Barnhardt Cir, Fort Oglethorpe, GA, 30742",Austin Graham,404-445-1091
125 Clairemont Ave,"125 Clairemont Ave, Decatur, GA, 30030",Steven Josovitz,770-840-2121
Dwell At The Alcove,"340 Dixie Hills Cir NW, Atlanta, GA, 30314",Marco Welch,678-808-2735
College Street Cottages,"633 College St, Macon, GA, 31201",Brandon Thacker,478-501-0509
Midtown Apartments,"1927 Central Ave, Augusta, GA, 30904",Lee Malchow,706-231-7249
2211 n Highway 41,"1 Hwy 41, Calhoun, GA, 30701",Kenneth Ficken,404-488-9441
High-Cash Flow 16-Unit Multifamily Investment,"Ticknor Dr, Columbus, GA, 31903",Stavros Adonis Mallios,904-348-0109
VINEVILLE COURT APARTMENTS,"1975 Vineville Ave, Macon, GA, 31201",Connor Kerns,404-445-1090
"37 Unit Mobile Home Park in Sparks, GA","1000 Pleasantdale Cir, Sparks, GA, 31647",Caleb Ross,904-400-2069
South Georgia Storage,"1201 W 12th St, Alma, GA, 31510",Josh Koerner,904-591-0140
North Georgia Storage Portfolio,"2914 Blue Ridge Dr, Blue Ridge, GA, 30513",Austin McLeod,404-445-1093
I-75 Georgia RV Resort,"2690 Arena Rd, Unadilla, GA, 31091",Michael Nissley,561-479-1588
130 W Dodson Street,"130 W Dodson St, Americus, GA, 31709",Scott Free,478-951-3333
Northpoint Park Apartments,"4116 Ayers Rd, Macon, GA, 31210",Jack Lynch,864-678-5937
10-Unit Multifamily | Value-Add Opportunity,"140 Prentice Pl, Macon, GA, 31204",Brice Burns,478-733-4245
375 Winding River,"375 Winding River Dr, Atlanta, GA, 30350",Dave Aynes,678-665-3283
127 LaGrange & 57 1st Avenue - Newnan Portfolio,"127 Lagrange St, Newnan, GA, 30263",Lee Steed,678-372-6364
601 E 53rd St,"601 E 53rd St, Savannah, GA, 31405",Jessica Kelly,912-238-0874
Affordable Housing Preferred Equity Co-Investment,"170 Mitchell St SW, Atlanta, GA, 30303",Derrick Barker,727-761-3877
Value-Add Opportunity | Virginia-Highland Neighborhood,"905 Greenwood Ave NE, Atlanta, GA, 30306",Andy Lundsberg,404-876-1640
635 ORANGE STREET,"635 Orange St, Macon, GA, 31201",Connor Kerns,404-445-1090
4312- 4324 SOUTHSIDE Drive,"4312 SOUTHSIDE Drive, Acworth, GA, 30101",Nancy Diamond,404-786-5055
Kings Court Apartments,"2099 M.L.K. Jr Dr SW, Atlanta, GA, 30314",Janice Walker,404-604-3100
Fully Leased Quadruplex in North Grant Park,"345 Loomis Ave SE, Atlanta, GA, 30312",Amy Mollohan,678-570-0550
Multiple Duplexes & Triplexes for sale,"106 Ronald Pride Blvd, Fort Valley, GA, 31030",Jill Jones,510-776-5325
Fully Leased Investment Portfolio,"266 Mayfield Rd, Warrenton, GA, 30828",Charlie Moye,706-736-0700
Buckhead Atlanta GA Lenox Square Mall Food Court Restaurant,"Lenox Square Mall Food Court Restaurant, Atlanta, GA, 30327",Steven Josovitz,770-840-2121
521 Joseph E Lowery Blvd,"521 Joseph E. Lowery Blvd NW, Atlanta, GA, 30314",Dave Alleyne,404-902-8935
Car wash portfolio - 10% cap,"625 Rowland Dr, Moultrie, GA, 31768",Andrew Batkins,678-595-6254
SPIVEY CROSSING,"2507 Rex Rd, Ellenwood, GA, 30294",Connor Kerns,404-445-1090
PURSLEY COURT APARTMENTS,"455 Pursley St, Macon, GA, 31201",Connor Kerns,404-445-1090
Dodson Courtyard,"3250 Dodson Drive Connector, East Point, GA, 30344",Mack Leath,770-594-1915
Strategic Multifamily Acquisition | High-Growth Urban Market,"20 Griffin St NW, Atlanta, GA, 30314",Adrian Provost,404-635-6420
Cross Creek,"100 Cross Creek Dr, LaGrange, GA, 30241",Ian Shaw,404-654-2347
Magnolia Reserve Apartments,"1400 W Magnolia St, Valdosta, GA, 31601",John Edward Brigel,813-857-1751
COLLEGE PARK APARTMENTS,"2214 Gillionville Rd, Albany, GA, 31707",Connor Kerns,404-445-1090
Creekside Apartments | 276 Unit Multifamily Opportunity,"3000 Ember Dr, Decatur, GA, 30034",Marco Welch,678-808-2735
Villas at Thomas Rd,"8373 Thomas Rd, Jonesboro, GA, 30238",Matthew Williams,770-262-8091
Columbus Multifamily Portfolio,"817 Blandford Ave, Columbus, GA, 31906",Bryce Reese,843-687-3831
2575 Peachtree Road NE Unit 302,"2575 Peachtree Road NE Unit 302, Atlanta, GA, 30305",Jeremy Smith,404-861-8734
Generations Knowledge and Care Center,"7185 Blackmon Rd, Columbus, GA, 31909",Haley Lyman,706-615-6292
Springcreek Village 5 Quadplex,"8082 Veterans Parkway #15, Columbus, GA, 31909",Kyra Cottle,678-412-5583
2564 Wheeler Road,"2564 Wheeler Road, Augusta, GA, 30904",Michael Stake,803-640-9591
368 PONCE,"368 Ponce De Leon Ave NE, Atlanta, GA, 30308",Steve Massell,404-255-6810
