Building Name,Address,Broker,Broker Phone
424-426 Cordova Ave NW,"424-426 cordova Ave NW, Albuquerque,, NM, 87107",Todd Clarke,505-440-8633
ALAMOGORDO SELF STORAGE PORTFOLIO,"621 Wright Ave, Alamogordo, NM, 88310",Ben Tracy,602-975-0820
2265 / 2269 Ash St Sw,"2265 / 2269 Ash St Sw, Deming, NM, 88030",Tony Hernandez,575-544-8639
Four Plex Investment For Sale Near the Railyard,"711 S St Francis Dr, Santa Fe, NM, 87505",Tai Bixby,505-539-3200
Moriarty Apartments,"503 U.S. Rte 66, Moriarty, NM, 87035","Richard Hanna, CCIM",505-332-0522
675 S Foch Street,"675 S Foch Street, Truth Or Consequences, NM, 87901",Cheryl A Shipley,509-768-1820
Pyramid Apartments,"3600 Lafayette Dr NE, Albuquerque, NM, 87107","Joe R. Romero, CCIM",505-250-8830
13207 Mountain Pl NE,"13207 Mountain Pl NE, Albuquerque, NM, 87112",Todd Clarke,505-440-8633
213 63rd St NW,"213 63rd St NW, Albuquerque, NM, 87105",Chuck Sheldon,505-268-1181
Lakeview RV Park,"12451 Highway 152, Caballo, NM, 87931",Scott Schoettlin,949-400-2709
"1404 E. Montana Ave, Las Cruces","1404 Montana Ave, Las Cruces, NM, 88001",Todd Clarke,505-440-8633
High Country Storage,"27736 W Frontage Rd, Santa Fe, NM, 87507",Brandon Robinson,760-534-8135
101 RUTH Lane,"101 RUTH Lane, Bloomfield, NM, 87413",Aspen Groen,No Phone Number Available
Dream Catcher RV Park,"4400 E Pine St, Deming, NM, 88030",Michael Nissley,561-479-1588
415 E. Washington Avenue,"415 E Washington Ave, Tucumcari, NM, 88401","Ray Regan, CCIM",505-220-0460
North Coors Self Storage,"615 Coors Blvd NW, Albuquerque, NM, 87121",David Laney,480-626-0142
Socorro Mobile Home Opportunity,"1206 Cuba Road, Socorro, NM, 87801","Joe R. Romero, CCIM",505-250-8830
2500 Bosque Farms Blvd,"2500 Bosque Farms Blvd, Bosque Farms, NM, 87068",Jacob Lopez,505-328-5156
Residences at Copper Ave - A Townhome Community,"12710 San Jacinto Ave NE, Albuquerque, NM, 87123",Austin Tidwell,505-702-1379
5200 Sequioa Rd NW,"5200 Sequoia Rd NW, Albuquerque, NM, 87120",Stacey Nenninger,505-855-7608
Multifamily Land,"Roadrunner Pkwy, Las Cruces, NM, 88012",Randy McMillan,575-640-7213
Morningstar Land,"Morningstar Dr, Las Cruces, NM, 88011",Jake Redfearn,575-635-5895
Atomic Bomb Shelter - Doomsday Preparer's Dream Complex,"19103 US-54, Encino, NM, 88321",Jacob Lopez,505-328-5156
CANNABIS EXTRACTION BUSINESS,"123 Main St, Albuquerque, NM, undefined",Jacob Lopez,505-328-5156
"Carlston Ranch Master Planned Community - Carlsbad, NM","6500 National Parks Hwy, Carlsbad, NM, 88220",Sergio Tinajero,915-422-2242
Mimbres Valley Development Farm,"475 O'Kelly Rd SW, Deming, NM, 88030",Jay Hill,575-644-5570
Adobe Springs Cafe,"614 N Bullard St, Silver City, NM, 88061",Marisa Villegas,575-519-2027
The Pioneer Apartments,"7600 Central Ave SE, Albuquerque, NM, 87108",Luke Scarpa,505-881-0001
"Restaurant, Bar & Business For Sale","32230 US-64, Maxwell, NM, 87728",David Fite,505-328-4834
1.8 acres C-1 off I-25 and Exit 314- QSR/Fas food-Apartments,"7540 Isleta Blvd SW, Albuquerque, NM, 87105",James Jaramillo,505-730-2170
205 E San Miguel,"205 E San Miguel St, La Mesa, NM, 88044",Ernesto Uranga,575-644-7254
322 N Main Street,"322 N Main St, Clovis, NM, 88101",Brett Johnson,575-760-3654
2315 N Jefferson Street,"2315 N Jefferson Street, Hobbs, NM, 88240",Todd Clarke,505-440-8633
22 ROAD 3085,"22 ROAD 3085, Aztec, NM, 87410",Amanda Banks,505-327-4838
2100 Stardust,"2100 Stardust Ct, Alamogordo, NM, 88310",Todd Clarke,505-440-8633
1804 ECollege Blvd,"1804 E College Blvd, Roswell, NM, 88201",Bill Davis,575-622-0875
Turn-Key Restaurant & Business For Sale,"195 N Mesquite St, Las Cruces, NM, 88001",Jacob Garland,575-202-0429
Poblana Place,"2818 4th St NW, Albuquerque, NM, 87107",Todd Clarke,505-440-8633
12229 Menaul Blvd NE,"12229 Menaul Blvd NE, Albuquerque, NM, 87112",Todd Clarke,505-440-8633
335 Espanola St NE,"335 Espanola St NE, Albuquerque, NM, 87108",Todd Clarke,505-440-8633
Gatewood Mobile Home Park,"1143 Gatewood Ave SW, Albuquerque, NM, 87105",Genieve Posen,505-290-7413
Ruidoso Hilltop Casitas,"101 Monica's Ct, Ruidoso, NM, 88345",Douglas Van Nortwick,915-494-7744
3 Ernie Blake Rd,"3 Ernie Blake Rd, Taos Ski Valley, NM, 87525",John Phillips,505-264-4650
"314 & 314A Don Fernando Street, Taos, New Mexico","314 Don Fernando St, Taos, NM, 87571",Dan Clements,575-758-1924
"219 Central Ave NW, 7th Floor","219 Central Ave NW, Albuquerque, NM, 87102",Terrie Hertweck,505-883-7676
Anthea @ The Granite,"950 4th St NW, Albuquerque, NM, 87102",Terrie Hertweck,505-883-7676
Freestanding Commercial Building / Business Sale Optional,"200 E Santa Fe Ave, Grants, NM, 87020",Debrah Kemp,505-290-0401
RV Park in SouthEast New Mexico,"2112 Rio Penasco Rd, Mayhill, NM, 88339",Christopher Vellanti,727-643-6431
PRIME 6.24+ AC COMMERCIAL SITE BUSTLING UNSER CORRIDOR,"2021 Unser Blvd SE, Rio Rancho, NM, 87124",Mark Edwards,505-998-7298
New Mexico Desert RV Park along Interstate 10,"4400 E Pine St, Deming, NM, 88030",Michael Nissley,561-479-1588
Jefferson 3,"308 Jefferson St NE, Albuquerque, NM, 87108",Todd Clarke,505-440-8633
Anderson3,"3403 Anderson Ave SE, Albuquerque, NM, 87106",Todd Clarke,505-440-8633
Tenn 532,"532 Tennessee St NE, Albuquerque, NM, 87108",Todd Clarke,505-440-8633
530Tenn,"530 Tennessee St NE, Albuquerque, NM, 87108",Todd Clarke,505-440-8633
4156 Mesa Verde Ave NE,"4156 Mesa Verde Ave NE, Albuquerque, NM, 87110",Todd Clarke,505-440-8633
220 General Stilwell NE,"220 General Stilwell St NE, Albuquerque, NM, 87123",Todd Clarke,505-440-8633
Cand 12120,"12120 Candelaria Rd NE, Albuquerque, NM, 87112",Todd Clarke,505-440-8633
Cand 12100,"12100 Candelaria Rd NE, Albuquerque, NM, 87112",Todd Clarke,505-440-8633
Santa Fe 6,"2382 Camino Capitan, Santa Fe, NM, 87505",Todd Clarke,505-440-8633
GS fourplex,"220 General Stilwell, Albuquerque, NM, 87123",Todd Clarke,505-440-8633
Advantage Storage,"1015 S 17th St, Lovington, NM, 88260","Jared Jones, CCIM",918-948-3941
Wyndchase,"201 Three Crosses Ave, Las Cruces, NM, 88005",David Tello,254-640-2314
Massive Former Manufacture Home Facility,"1111 North Road, Lordsburg, NM, 88045",Lee Kegley,540-798-4799
3130 Vista Grande Dr NW,"3130 Vista Grande Dr NW, Albuquerque, NM, 87120",Anne Vallejos,505-226-4348
Mayeur Building,"200 Plaza St, Las Vegas, NM, 87701",Jeff Salman,505-454-0332
Mehran Lofts,"517 Gold Ave SW, Albuquerque, NM, 87102",Trey Whaley,505-269-1824
Signaled Corner Mixed Use Investment Property,"505 N Valley Dr, Las Cruces, NM, 88005",Michelle Casillas,915-225-0906
Well-Established Memory Care Assisted Living Facility,"2802 Corte Dios, Las Cruces, NM, 88011",Randy McMillan,575-640-7213
512 Mesilla Street SE,"512 Mesilla St SE, Albuquerque, NM, 87108",Todd Clarke,505-440-8633
SEC Golf Course Road & Westside Boulevard,"SEC Golf Course Road & Westside Boulevard, Albuquerque, NM, 87114",John Youngblood,505-345-1524
Remodeled 42 unit Multifamily/Hotel,"13139 Central Ave NE, Albuquerque, NM, 87123","Frederick W. ""Bill"" Reed",505-868-0996
Pueblo de Chamisa,"1800 S Pennsylvania Ave, Roswell, NM, 88203",Todd Clarke,505-440-8633
Sycamore Square | 1400 Central SE,"1400 Central Ave SE, Albuquerque, NM, 87106",Kate Potter,505-730-8479
199 WIlloughby,"199 W Willoughby Ave, Las Cruces, NM, 88005",Todd Clarke,505-440-8633
New West Apartments,"1069 Bonita Ave, Grants, NM, 87020",Todd Clarke,505-440-8633
104 Brooks St,"104 Brooks St, Taos, NM, 87571",John Phillips,505-264-4650
9300 N Knowles Rd,"9300 N Knowles Rd, Hobbs, NM, 88242",Ashley White,No Phone Number Available
5211 BLOOMFIELD HWY,"5211 BLOOMFIELD HWY, Farmington, NM, 87401",Allen Elmore,505-686-3831
1129 CALLE DEL RIO,"1129 CALLE DEL RIO, Bloomfield, NM, 87413",Allen Elmore,505-686-3831
300 S WAGNER Avenue,"300 S WAGNER Avenue, Farmington, NM, 87401",Allen Elmore,505-686-3831
620 N LIGHT PLANT Road,"620 N LIGHT PLANT Road, Aztec, NM, 87410",Allen Elmore,505-686-3831
3700 BLOOMFIELD HWY,"3700 BLOOMFIELD HWY, Farmington, NM, 87401",Sergio Quintana,No Phone Number Available
2200 Chapparal,"2200 Chapparal, Clovis, NM, 88101",Julia Bridges,575-760-7262
1134 Emerson Street,"1134 Emerson Street, Raton, NM, 87740",Cassidae Chance,575-445-8477
812 N VINE (LOT 1,"812 N VINE (LOT 1, Farmington, NM, 87401",Jennifer Wood,No Phone Number Available
Hillcrest Restaurant,"1104 Grand Ave, Las Vegas, NM, 87701",Katharine Duke,505-429-1523
Rare Investment Property with Steady Income,"4 Camino Charro, Santa Fe, NM, 87507",Joel Cumplido,505-473-3434
Land For Sale in Downtown Albuquerque!,"1221 2nd St SW, Albuquerque, NM, 87102",Hayley McInnes,575-808-2830
1600 W BROADWAY Avenue,"1600 W BROADWAY Avenue, Bloomfield, NM, 87413",Aspen Groen,No Phone Number Available
1019 W BROADWAY Boulevard,"1019 W BROADWAY Boulevard, Bloomfield, NM, 87413",Aspen Groen,No Phone Number Available
215 N MESA VERDE Avenue,"215 N MESA VERDE Avenue, Aztec, NM, 87410",Paul Barry,No Phone Number Available
