Building Name,Address,Broker,Broker Phone
525 Shelton Rd,"525 Shelton Rd, Clyde, NC, 28721",Randall Rogers,828-734-8862
LIV CBD and BOTTLE SHOP,"320 Castle St, Wilmington, NC, 28401",Terry Espy,910-519-3003
Fontana Lake and Park View Cabins,"1628 Round Hill Rd, Bryson City, NC, 28713",Chris Smith,828-450-2826
925 B's Barbecue Rd,"925 B's Barbeque Rd, Greenville, NC, 27834",David Edwards,252-560-9470
Climate Controlled Self Storage,"343 23rd St SW, Hickory, NC, 28602",William Hatcher,828-261-6370
1950 W. Clemmonsville Rd,"1950 W Clemmonsville Rd, Winston-Salem, NC, 27127","William T. Bartholomew, Jr., CCIM",336-480-2335
"149 Site Fifty-Year Family Campground Eastern, NC *Value Add","1679 Green Acres Rd, Williamston, NC, 27892",Sebastian Kressley,919-797-5900
Village at Julia,"2301 Julia Ave, Charlotte, NC, 28206",Ben Bury,704-390-5547
Rare Concrete Luxury Garage,"291 Cayuga Dr, Mooresville, NC, 28117",Shane DeBerti,704-450-3333
119 West Bogue Blvd - Atlantic Beach (7) Units,"119 W Bogue Blvd, Atlantic Beach, NC, 28512",Matthew Johnson,252-269-9172
Southmont & Denton Storage Portfolio,"158 Ave K, Lexington, NC, 27292",Austin McLeod,404-445-1093
1075 7th Ave NW Hickory NC 28601,"1075 7th Ave NW, Hickory, NC, 28601",Caleb Rice,828-502-9197
Cape Fear Townhomes,"5217 Tern Pl, Fayetteville, NC, 28311",John Manning,828-773-9000
Reams rd 29 Townhomes,"9337 Reames Rd, Charlotte, NC, 28216",Jeff moflehi,704-232-3600
555 East Apartment Homes,"555 N Martin Luther King Jr Dr, Winston-Salem, NC, 27101",Nathan Vaughan,704-780-0472
Park at Drexel,"4310 Park Rd, Charlotte, NC, 28209",Gordon Huey,843-330-0415
Statesville North Carolina,"Koa Ln, Statesville, NC, 28677",Christopher Vellanti,727-643-6431
5742 Gregory St & 1153 Tammy St,"5742 Gregory St, Fayetteville, NC, 28311",Patrick White,912-580-1281
1105 Alamance Church Rd,"1105 Alamance Church Rd, Greensboro, NC, 27406",Phil Tockman,336-987-0808
Springdale Apartments,"4338-4465 Magellan Ct, Ayden, NC, 28513",NIKEICA PETERSON,919-539-6965
415 Flats,"415 W 10th St, Charlotte, NC, 28202",Mike Giordano,980-242-9333
Iron Storage Portfolio,"54 Gold St, Canton, NC, 28716",Frank DeSalvo,813-345-5876
West Pine Lofts,"306 W Pine St, Goldsboro, NC, 27530",Matthew Rice,919-674-1112
"202 Laurel Avenue Wadesboro, 28170","202 Laurel Avenue, Wadesboro, NC, 28170",Jeff Hovis,910-512-2205
University Square,"1126 Blowing Rock Rd, Boone, NC, 28607","James Milner, CCIM",828-719-0408
Carolina Pride Self Storage and Car Wash,"1055 Alamance Church Rd, Greensboro, NC, 27406",Brandon Robinson,760-534-8135
Cider Mill,"1410 Brewer Rd, Winston-Salem, NC, 27127",Ryan Gavigan,704-996-9183
14-Unit Multifamily Investment Opportunity,"S Walton Dr, Benson, NC, 27504",Stavros Adonis Mallios,904-348-0109
"27 Units Multi-Family Greenville, NC","301 E 12th St, Greenville, NC, 27858",Deb Cook,336-455-1100
Royal Manor Apartments,"1307 County Home Rd, Conover, NC, 28613",Edwin Byler,336-941-7759
1815 McCormick St.,"1815 McCormick St., Greensboro, NC, 27406",Phil Tockman,336-987-0808
S Church Street Self Storage,"3335 S Church St, Burlington, NC, 27215",Hal H Tanner III,919-922-5757
Stonehaven Duplex Portfolio,"6500 Pineburr Rd, Charlotte, NC, 28211",Aaron Ligon,980-254-2747
Airbnb in Charlotte,"128 Hugh Caldwell Rd, Charlotte, NC, 28214",Brian Connaughton,704-280-7353
501 North Street,"501 North St, Chapel Hill, NC, 27514",Steven Peden,919-291-5650
Goodfellas Storage - St. Pauls,"372 S 4th St, Saint Pauls, NC, 28384",Jesse Hammett,864-641-5201
