Building Name,Address,Broker,Broker Phone
Upside in Norwood Multifamily,"4206 Lafayette Ave, Norwood, OH, 45212","Patrick Reynolds, CCIM",859-484-7080 ext- 1
"34626 Royalton Rd Unit #1, Grafton, OH 44044","34626 Royalton Rd, Grafton, OH, 44044",Kevin Russell,440-554-3297
THE MILTON TOWNHOMES,"1421 E. 15th St., Cleveland, OH, 44114",Matthew King,216-452-9292
"41 SFR | Totaling 48 doors, Fully rented in Ohio.","3320 W 97th St, Cleveland, OH, 44102",Bryant Hoover,310-774-2163
449 E Mound Street,"449 E Mound Street, Columbus, OH, 43215",Doug Smith,614-869-7139
Storage of America,"2800 Shiloh Springs Rd, Trotwood, OH, 45426",Meir Perlmuter,862-591-7070
18-Unit Apt Building Near Shaker Square - 8 CAP,"14520 Milverton Rd, Cleveland, OH, 44120",Tal Tamir,216-870-8687
Victorian Village,"16-24 Buttles Ave, Columbus, OH, 43215",Matthew Tarshis,847-542-9058
17th St Self Storage Facility,"2200 17th st SE, Canton, OH, 44730",Megan Eckstein,330-605-4302
6603 Hasler Lane,"6603 Hasler Ln, Cincinnati, OH, 45216",Brian Jackson,513-620-5968
Springfield Storage,"2900 E Main St, Springfield, OH, 45503",Evan DeCiantis,248-953-5600
11809 Union Ave,"11809 Union Ave, Cleveland, OH, 44105",Michael Azzam,440-503-9609
16 Unit Value Add Multifamily,"17623 Lakeshore Blvd, Cleveland, OH, 44119",Justin Campbell,216-801-3599
Parkwood Apartments,"884 Parkwood Dr, Cleveland, OH, 44108",Chrissy Kovanda,216-317-3463
INSANE CASH FLOW 4 PLEX,"1573-1579 e cordell ave, Columbus, OH, 43211",Dylan Walker,614-302-5586
Safe and Secure Storage,"5423 N Waynesville Rd, Oregonia, OH, 45054",Joel Dumes,513-878-7720
17% CAP RATE TURN KEY 4 UNIT IN DAYTON,"111 E Norman Ave, Dayton, OH, 45405",Dylan Walker,614-302-5586
Scott Street Apartments,"300 Scott St NE, Warren, OH, 44483",Patrick Burgan,330-783-0055
Brookside Manor,"3308 Archwood Ave, Cleveland, OH, 44109",Garrett Moeller,216-255-5154
Lakeland Commons,"25450 Euclid Ave, Euclid, OH, 44117",Gregory B. West,216-861-5379
Ohio City Value-Add,"5201-5207 Lorain Avenue, Cleveland, OH, 44102",Kathleen Bassett,440-503-8867
8 UNIT APARTMENT BUILDING | 9.32% CAP RATE | PRIME LOCATION,"839 34th St. NW, Canton, OH, 44709",Anthony Takacs,440-567-8047
Napa Townhomes,"1789 Elaine Rd, Columbus, OH, 43227",Carter Stephens,631-704-2257
Burkhardt Valley Apartments | 35 Units | For Sale,"4644 Burkhardt Ave, Dayton, OH, 45431",Tryfon Christoforou,513-745-9333
2820 Collingwood Blvd,"2820 Collingwood Blvd, Toledo, OH, 43610",Stewart Beal,734-972-5460
BRIDAL DISTRICT 12-UNIT IN READING,"325 Pike St, Cincinnati, OH, 45215",Adam Curry,513-935-0021
Redevelopment Opportunity in Hillsboro - Five Lots & Storage,"337 N West St, Hillsboro, OH, 45133",Chip Carpenter,740-965-1208
A&B Storage,"2935 Crawford Wyandot County Line Rd, Nevada, OH, 44849",Jack Kaiser,732-742-9250
Village Store & Lock + Village Apartments,"5319 S Dixie Hwy, Cridersville, OH, 45806",Sean Delaney,630-570-2267
361 S Harris Avenue,"361 S Harris Avenue, Columbus, OH, 43204",Dylan Walker,614-302-5586
"Former ""The Ritz"" Building","705 6th St NW, Canton, OH, 44703",Joel Dutton,330-879-5000
576 E 152,"576 E 152nd St, Cleveland, OH, 44110",Jason Griffith,330-931-9418
Rare Avon Multifamily Mixed-Use Asset,"2521 Stoney Ridge Rd, Avon, OH, 44011",Justin Campbell,216-801-3599
"3212, 3222 Harry Lee Lane","3222 Harry Lee Ln, Cincinnati, OH, 45239",Stephen Turman,513-489-7000
Golf Crest Manor,"5510 Beavercrest Dr, Lorain, OH, 44053",Anthony Paradiso,419-680-6636
Gross Point Apartments,"121 E Erie Ave, Lorain, OH, 44052",Robert Cole Sr,440-241-5221
116th Apartments,"1578 W 116th St, Cleveland, OH, 44102",Nick Soeder,216-862-5616
Tiffin MHP & Stone Homes Self Storage,"1208 S Central Ave, Tiffin, OH, 44883",Wesley Peterson,520-225-0020
Used car dealer and Mechanic Shop,"123 Morse Rd, Columbus, OH, 43214",Fisal Ikhmayes,614-900-1000
Cleveland 25 Property Portfolio (30 Units),"2951 E 67th St, Cleveland, OH, 44127",Anthony Aviles,216-212-9219
Fairwood Court Apartments,"2691 E 116th St, Cleveland, OH, 44120",Justin Campbell,216-801-3599
LEGACY 2020 APARTMENTS - 2023 Fully Renovated,"2020 Front St, Cuyahoga Falls, OH, 44221",Brian Brockman,513-898-1551
5744 Southwyck Blvd,"5744 Southwyck Blvd, Toledo, OH, 43614",David Mrachko,216-214-1197
"402 Columbus Avenue, Sandusky, OH","402 Columbus Ave, Sandusky, OH, 44870","Henry ""Mac"" Lehrer, CCIM",419-357-4004
Lockdown Self Storage,"536 Monroe-Concord Rd, Troy, OH, 45373",Scott Kaster,937-673-4366
"32700 Center Ridge Road, North Ridgeville","32700 Center Ridge Rd, North Ridgeville, OH, 44039",Mike Petrigan,216-363-6435
Gettysburg Estates,"715 and 721 N Gettysburg Ave, Dayton, OH, 45417",J J Harrison,513-325-4403
Gypsy/Crumrine,"1514 Gypsy Ln, Youngstown, OH, 44505",Alan Friedkin,330-759-2383
7270-7292 Broadwyn Drive,"7270-7292 Broadwyn Drive, Reynoldsburg, OH, 43068",Joey Parizek,614-378-4086
3250 E 49th St Cleveland OH 44127,"3250 E 49th St, Cleveland, OH, 44127",Katie Middendorf,330-697-5411
27 S Smithville Rd,"27 S Smithville Rd, Dayton, OH, 45431",Kal Mughrabi,937-914-0200
SAXON HOUSE APARTMENTS,"1647 S Cove Blvd, Toledo, OH, 43606",Dan Gehling,440-637-0191
Cleveland West 99 Property Package,"3181 W 38th St, Cleveland, OH, 44109",Ryan McCullough,216-527-6888
484-498 Forest Street,"484-498 Forest Street, Columbus, OH, 43206",Daniel Lim,614-425-4066
3000 S Smithville Rd,"3000 S Smithville Rd, Dayton, OH, 45420",Mike Wall,937-361-1279
620 E 185th,"620 E 185th St, Cleveland, OH, 44119",Stephanie Turner,216-256-6939
Self Storage Business,"5885 Haughn Rd, Grove City, OH, 43123",Randy Sokol,614-204-4904
10 Unit Apartment Building,"2980 S Moreland Blvd, Cleveland, OH, 44120",Justin Campbell,216-801-3599
4405 Aspen Dr,"4405 Aspen Dr, Austintown, OH, 44515",Don Thomas,501-269-3827
"11 S Ludlow St, Downtown Dayton, OH","11 S Ludlow St, Dayton, OH, 45402",Larissa Isenberg,803-403-6781
Blisswood Townhome Portfolio,"22650 Fox Ave, Euclid, OH, 44123",Noah Yoder,614-636-0114
980 Lafayette Rd,"980 Lafayette Rd, Medina, OH, 44256",Alan Hallock,330-722-3055
Detroit Rd-Westlake,"29655 Detroit Rd, Westlake, OH, 44145",Michael Pasadyn Jr,440-258-9126
The Hilliard Five,"14818 Hilliard Rd, Lakewood, OH, 44107",Justin Campbell,216-801-3599
3016 S Moreland,"3016 S Moreland Blvd, Cleveland, OH, 44120",Jose Salerno,440-637-3791
17105 Madison Ave,"17105 Madison Ave, Lakewood, OH, 44107",Mark Moskwa,440-454-0756
The Secor Building,"425 Jefferson Ave, Toledo, OH, 43604",Ryan Miller,419-794-3961
$1 Auction – 97K SF | Self-Storage Entitled,"705-711 Johnston St, Akron, OH, 44306",Philip Kates,305-206-1286
877-883 Gorge Boulevard,"887 Gorge Blvd, Akron, OH, 44310",Sam Tecca,330-722-5002
Rental Package 321 Slack Street,"321 Slack St, Steubenville, OH, 43952",Eli Ahmadov,754-251-0202
Broadway,"5462 Broadway Ave, Cleveland, OH, 44127",Michael Pasadyn Jr,440-258-9126
29 W 1st Ave,"29 W 1st Ave, Columbus, OH, 43201",Peter Merkle,614-629-5240
Shaker Hall Apartments,"12700 Shaker Blvd, Cleveland, OH, 44120",Nick Soeder,216-862-5616
South St Apartments,"394 E South St, Akron, OH, 44311",Jon Caiazza,330-309-4766
20-Unit Turn Key SFR Rental Portfolio - Cleveland,"1599 W 116th St, Cleveland, OH, 44102",Ryan McCullough,216-527-6888
5490 Glenway Ave,"5490 Glenway Ave, Cincinnati, OH, 45238",Nat Comisar,513-378-5801
Southfield Village Townhomes,"1132 E John St, Springfield, OH, 45505",Cody J. Carey,614-264-3510
2449 West McMicken & 2436 Halstead,"2436 Halstead St, Cincinnati, OH, 45214",John Dwyer,513-784-1776
159-166 Walnut Terrace,"159-166 Walnut Terrace, Akron, OH, 44303",Lisa Mazzola,330-673-3400
Crandell Park Apartments,"2830-2836 E 130th St, Cleveland, OH, 44120",Chrissy Kovanda,216-317-3463
7 House Rental Portfolio,"2 Whispering Dr., Dayton, Oh. 45426, Dayton, OH, 45426",James F Cannon,937-623-9888
Former Notre Dame College,"4545 College Rd, South Euclid, OH, 44121",Bob Biggar,216-839-2030
1330 Xenia Avenue,"1330 Xenia Avenue, Dayton, OH, 45410",Jennifer Wernert,614-255-5588
Former YMCA and Senior Care Facility,"140 S Crestline St, Crestline, OH, 44827",Joel Dutton,330-879-5000
2425-2429 West Broad Street,"2425-2429 West Broad Street, Columbus, OH, 43204",John Mally,614-629-5254
3731 Dunkirk St,"3731 Dunkirk St, Cincinnati, OH, 45220",Sheila Holmes Howard,513-543-2333
Arbor Park,"38th St NW, Canton, OH, 44709",Kristy Trentman,330-517-1217
8664 Yawberg Rd,"8664 Yawberg Rd, Whitehouse, OH, 43571",Steven Silverman,248-848-4089
18424 Lakeshore,"18424 Lakeshore Blvd, Cleveland, OH, 44119",John Ellis,216-849-6779
Morse Creek Commons,"4090 Cleveland Ave, Columbus, OH, 43224",Thomas Fortin,614-348-7876
Fredrick Street Apartments,"3023 Frederick St, Youngstown, OH, 44505",Alan Friedkin,330-759-2383
Hamilton Court Apartments,"4468 Reinbeau Dr, Columbus, OH, 43232",Thomas Fortin,614-348-7876
Columbus Scattered Site Portfolio,"3349 E Broad St, Columbus, OH, 43213",Peter Merkle,614-629-5240
Folkestone Apartments,"1017-1025 Folkestone Rd, Columbus, OH, 43220",Scott Street,614-538-8895
The Flats 28,"3012 Robertson Ave, Cincinnati, OH, 45209",Jordan Dickman,513-878-7735
1154 S High Street,"1154 S High Street, Columbus, OH, 43206",Victoria Rossi,614-871-0808
Motivated Seller! Erieview Plaza - Apt/Garage Conversion,"55 Erieview Plz, Cleveland, OH, 44114",Dan Lariccia,440-669-1109
Views of Mt Airy,"2992 High Forest Ln, Cincinnati, OH, 45223",Austin Sum,513-878-7747
"1861 Termainsville Rd, Toledo OH","1861 Tremainsville Road, Toledo, OH, 43613",John Healey,419-877-7777
Lock-N-Roll Storage,"201 Sycamore St, Brookville, OH, 45309",Evan DeCiantis,248-953-5600
Mt. Airy Investment Opportunity,"2513 Flanigan Ct, Cincinnati, OH, 45239",Adam Curry,513-935-0021
