Building Name,Address,Broker,Broker Phone
18 Lot RV park and Home,"310 W Corporation, Henryetta, OK, 74437",Julie Estrin,918-209-9415
Meadow Rue by Cottonwood RV Parks,"25338 US-270, Woodward, OK, 73801",Zack Conroy,253-549-8701
Former Fraternity House - University of Oklahoma,"702 S Lahoma Ave, Norman, OK, 73069",Mitch Hammack,405-312-2512
North Enid Suds and Storage,"4301 N 4th St, Enid, OK, 73701",Brandon Robinson,760-534-8135
The Flats on Archer,"110 N Boston Ave, Tulsa, OK, 74103",David Dirkschneider,405-514-0340
Council Road Self Storage,"704 N Council Rd, Oklahoma City, OK, 73127",Jennifer Stein,213-446-5366
Creekside Apartments,"3398 E 6th Ave, Stillwater, OK, 74074",Carey Velez,918-845-7669
Thompson Storage Units,"1114 14th St, Woodward, OK, 73801",Ira Smith,580-254-3975
Cherokee Salt Plains RV Park,"233 W 10th St, Cherokee, OK, 73728",Jack A. Cardinal,602-350-4488
Storage Center Portfolio (Formerly Managed by Life Storage),"3000 N Villa Ave, Oklahoma City, OK, 73107","Jared Jones, CCIM",918-948-3941
Phillips Mobile Home Park,"603 S 3rd St, Kingfisher, OK, 73750",Nick Denbow,667-228-9000
Valley Storage,"1020 S Chickasaw St, Pauls Valley, OK, 73075",cameron burke,405-881-9664
Park Place Apartments,"620 Park Rd, Woodward, OK, 73801",Elliott Barzilli,817-932-6124
Pine Maple Apartments | 40% Down Seller will carry OAC,"701 W Pine Ave, Duncan, OK, 73533",John Ray,702-764-1082
Dennis's Storage,"34147 E 700 Rd, Wagoner, OK, 74467",Robert Bell,918-902-0462
Norfolk RV Park,"9321 N Norfolk Rd, Cushing, OK, 74023",Jake McClure,405-928-8737
Monterrey Apartments,"1785 S 79th E Ave, Tulsa, OK, 74112",Jason Turner,918-671-7272
Macarthur Park Townhomes,"4550 NE Arlington Ave, Lawton, OK, 73507",Jake McClure,405-928-8737
Timbers North,"2201 N 14th St, Ponca City, OK, 74601",David Dirkschneider,405-514-0340
Prime Investment Portfolio: 4 Fully Leased Properties,"4520 N Indiana Ave, Oklahoma City, OK, 73118",Jake McClure,405-928-8737
Quincy Ave Apartments,"632 S Quincy Ave, Tulsa, OK, 74120",Jonathan Gobbo,918-850-2289
Ponca City RV Park,"1015 N Waverly St, Ponca City, OK, 74601",Jake McClure,405-928-8737
"4225 W 5th St, Tulsa, OK 74127","4225 W 5th St, Tulsa, OK, 74127",Brian Frere,918-298-6900
3 buildings on 2 A/C Industrial w/ Sunnylane Frontage,"11113 S Sunnylane Rd, Oklahoma City, OK, 73160",Yen Phi,405-534-5667
Store It Rite,"9300 W 6th Ave, Stillwater, OK, 74074",John Lindsey,919-381-7799
All Season Inn,"22192 US-271, Spiro, OK, 74959",vip shah,407-453-3415
Okmulgee Mobile Home Park,"814 S Kern Ave, Okmulgee, OK, 74447",Jake McClure,405-928-8737
10-Unit Portfolio Close to OKC,"1838 NW 11th St, Oklahoma City, OK, 73106",Heston Bush,580-399-6379
Harrah Mobile Home Park,"3701 S Pottawatomie Rd, Harrah, OK, 73045",Jake McClure,405-928-8737
Darlington Apartments,"5303 E 12th St, Tulsa, OK, 74112",Melanie Richardson,918-495-1551
Knob Hill Estates,"27210 S Hwy 125, Afton, OK, 74331",Cara Sides,580-656-1767
Heritage Ridge Apartments,"7550 NW 10th St, Oklahoma City, OK, 73127",Albert Davies,254-383-9000
Melrose Apartments,"6321 E 9th St, Tulsa, OK, 74112",Jason Turner,918-671-7272
Rockwell Terrace,"520 N Rockwell Ave, Oklahoma City, OK, 73127",Jason Turner,918-671-7272
