Building Name,Address,Broker,Broker Phone
Retail Mixed use shopping center in Beaumont,"2550 I-10, Beaumont, TX, 77703",Ash Noorani,832-455-6486
El Pato,"722 N Marsalis Ave, Dallas, TX, 75203",Jacob Kahn,334-604-3856
"1401 Olander St - Austin, TX","1401 Olander St, Austin, TX, 78702",Land Unlimited,512-729-7139
PRICE IMPROVEMENT: 12 Unit Apartment Complex,"2917 Ashley St, Houston, TX, 77017",Kevin Riles,281-403-3700
400 Johnson Dr,"400 Johnson Dr, McGregor, TX, 76657",Kyle Heffron,210-848-3312
"CABANA CONDOMINIUMS | Garland, TX","4202 Bass Pro Dr, Garland, TX, 75043",Kevin Diener,214-663-4236
Lifesmart Storage,"7440 Elm St, The Colony, TX, 75056",Bill Bellomy,832-623-1690
903 Storage,"315 Industrial St, Bonham, TX, 75418",Danny Cunningham,817-932-6141
7820 Rockhill St,"7820 Rockhill St, Houston, TX, 77061",Joshua Sebesta,713-298-1341
Paluxy RV Park,"1607 US-67, Glen Rose, TX, 76043",Eli Buck,512-638-1443
Raider's Court Apartment Lubbock,"1809 14th St, Lubbock, TX, 79401",Trey Dennis,432-682-2510
Joshua Storage Depot,"100 W James St, Joshua, TX, 76058",Brandon Robinson,760-534-8135
Oasis at Sanger,"McReynolds Rd, Sanger, TX, 76266",Todd Franks,214-206-9559
Midland Basin RV Park,"3807 S County Rd 1210, Midland, TX, 79706",Carrie Sieger,262-812-6420
Montgomery Springs,"NWQ of Hwy 105 & Buffalo Springs Dr, Montgomery, TX, 77356",David Kreston,713-899-0618
The Lazy Frog RV Park,"20 County Rd NW 1030, Mount Vernon, TX, 75457",IRE Investment,518-379-0652
Freedom RV Park Portfolio,"9909 I-20 Frontage Rd, Sweetwater, TX, 79556",Edgar Martinez,972-755-5281
4710 Munger,"4710 Munger Ave, Dallas, TX, 75204",Grant Guest,214-207-8581
B & J Mini Storage,"4303 Wilbarger St, Vernon, TX, 76384",Justin Beck,512-626-2587
Allsorts Storage,"4040 TX-36, Brenham, TX, 77833",Cameron Vale,813-825-0391
